[08_partial_rsa] push loading ...
[08_partial_rsa] reach loading ...
[08_partial_rsa] reach L00 acc=0.015 ct=0.043
[08_partial_rsa] reach L01 acc=0.067 ct=0.040
[08_partial_rsa] reach L02 acc=0.098 ct=0.051
[08_partial_rsa] reach L03 acc=0.109 ct=0.062
[08_partial_rsa] reach L04 acc=0.196 ct=0.090
[08_partial_rsa] reach L05 acc=0.193 ct=0.089
[08_partial_rsa] reach L06 acc=0.194 ct=0.081
[08_partial_rsa] reach L07 acc=0.193 ct=0.079
[08_partial_rsa] reach L08 acc=0.193 ct=0.086
[08_partial_rsa] reach L09 acc=0.191 ct=0.107
[08_partial_rsa] reach L10 acc=0.200 ct=0.104
[08_partial_rsa] reach L11 acc=0.212 ct=0.094
[08_partial_rsa] reach L12 acc=0.203 ct=0.100
[08_partial_rsa] reach L13 acc=0.213 ct=0.092
[08_partial_rsa] reach L14 acc=0.212 ct=0.086
[08_partial_rsa] reach L15 acc=0.222 ct=0.076
[08_partial_rsa] reach L16 acc=0.235 ct=0.084
[08_partial_rsa] reach L17 acc=0.240 ct=0.091
[08_partial_rsa] reach L18 acc=0.248 ct=0.089
[08_partial_rsa] reach L19 acc=0.252 ct=0.094
[08_partial_rsa] reach L20 acc=0.250 ct=0.095
[08_partial_rsa] reach L21 acc=0.250 ct=0.092
[08_partial_rsa] reach L22 acc=0.246 ct=0.093
[08_partial_rsa] reach L23 acc=0.226 ct=0.094
[08_partial_rsa] drawer loading ...
[08_partial_rsa] drawer L00 acc=0.025 ct=0.056
[08_partial_rsa] drawer L01 acc=0.141 ct=0.057
[08_partial_rsa] drawer L02 acc=0.122 ct=0.079
[08_partial_rsa] drawer L03 acc=0.135 ct=0.065
[08_partial_rsa] drawer L04 acc=0.000 ct=0.030
[08_partial_rsa] drawer L05 acc=0.041 ct=0.027
[08_partial_rsa] drawer L06 acc=0.005 ct=0.020
[08_partial_rsa] drawer L07 acc=0.007 ct=0.021
[08_partial_rsa] drawer L08 acc=0.020 ct=0.019
[08_partial_rsa] drawer L09 acc=-0.018 ct=0.037
[08_partial_rsa] drawer L10 acc=-0.001 ct=0.036
[08_partial_rsa] drawer L11 acc=-0.011 ct=0.031
[08_partial_rsa] drawer L12 acc=-0.014 ct=0.038
[08_partial_rsa] drawer L13 acc=0.009 ct=0.038
[08_partial_rsa] drawer L14 acc=0.015 ct=0.038
[08_partial_rsa] drawer L15 acc=0.051 ct=0.047
[08_partial_rsa] drawer L16 acc=0.072 ct=0.052
[08_partial_rsa] drawer L17 acc=0.061 ct=0.049
[08_partial_rsa] drawer L18 acc=0.061 ct=0.042
[08_partial_rsa] drawer L19 acc=0.073 ct=0.033
[08_partial_rsa] drawer L20 acc=0.049 ct=0.032
[08_partial_rsa] drawer L21 acc=0.062 ct=0.027
[08_partial_rsa] drawer L22 acc=0.062 ct=0.031
[08_partial_rsa] drawer L23 acc=0.037 ct=0.026
[08_partial_rsa] peg_insert loading ...
[08_partial_rsa] peg_insert L00 acc=-0.058 ct=-0.017
[08_partial_rsa] peg_insert L01 acc=0.036 ct=0.077
[08_partial_rsa] peg_insert L02 acc=0.058 ct=0.107
[08_partial_rsa] peg_insert L03 acc=0.068 ct=0.126
[08_partial_rsa] peg_insert L04 acc=0.066 ct=0.112
[08_partial_rsa] peg_insert L05 acc=0.105 ct=0.184
[08_partial_rsa] peg_insert L06 acc=0.129 ct=0.198
[08_partial_rsa] peg_insert L07 acc=0.138 ct=0.206
[08_partial_rsa] peg_insert L08 acc=0.136 ct=0.188
[08_partial_rsa] peg_insert L09 acc=0.150 ct=0.199
[08_partial_rsa] peg_insert L10 acc=0.149 ct=0.206
[08_partial_rsa] peg_insert L11 acc=0.149 ct=0.214
[08_partial_rsa] peg_insert L12 acc=0.150 ct=0.217
[08_partial_rsa] peg_insert L13 acc=0.167 ct=0.223
[08_partial_rsa] peg_insert L14 acc=0.161 ct=0.223
[08_partial_rsa] peg_insert L15 acc=0.165 ct=0.241
[08_partial_rsa] peg_insert L16 acc=0.159 ct=0.234
[08_partial_rsa] peg_insert L17 acc=0.158 ct=0.240
[08_partial_rsa] peg_insert L18 acc=0.147 ct=0.232
[08_partial_rsa] peg_insert L19 acc=0.157 ct=0.231
[08_partial_rsa] peg_insert L20 acc=0.162 ct=0.232
[08_partial_rsa] peg_insert L21 acc=0.166 ct=0.233
[08_partial_rsa] peg_insert L22 acc=0.166 ct=0.241
[08_partial_rsa] peg_insert L23 acc=0.162 ct=0.238
[08_partial_rsa] nut_thread loading ...
[08_partial_rsa] nut_thread L00 acc=-0.025 ct=0.025
[08_partial_rsa] nut_thread L01 acc=-0.010 ct=0.033
[08_partial_rsa] nut_thread L02 acc=-0.014 ct=0.013
[08_partial_rsa] nut_thread L03 acc=0.000 ct=0.016
[08_partial_rsa] nut_thread L04 acc=0.032 ct=0.019
[08_partial_rsa] nut_thread L05 acc=0.035 ct=0.015
[08_partial_rsa] nut_thread L06 acc=0.042 ct=0.025
[08_partial_rsa] nut_thread L07 acc=0.053 ct=0.010
[08_partial_rsa] nut_thread L08 acc=0.051 ct=0.006
[08_partial_rsa] nut_thread L09 acc=0.061 ct=0.010
[08_partial_rsa] nut_thread L10 acc=0.065 ct=0.004
[08_partial_rsa] nut_thread L11 acc=0.069 ct=0.008
[08_partial_rsa] nut_thread L12 acc=0.059 ct=-0.002
[08_partial_rsa] nut_thread L13 acc=0.057 ct=0.008
[08_partial_rsa] nut_thread L14 acc=0.067 ct=0.020
[08_partial_rsa] nut_thread L15 acc=0.064 ct=0.020
[08_partial_rsa] nut_thread L16 acc=0.072 ct=0.028
[08_partial_rsa] nut_thread L17 acc=0.062 ct=0.029
[08_partial_rsa] nut_thread L18 acc=0.066 ct=0.021
[08_partial_rsa] nut_thread L19 acc=0.082 ct=0.025
[08_partial_rsa] nut_thread L20 acc=0.077 ct=0.028
[08_partial_rsa] nut_thread L21 acc=0.061 ct=0.033
[08_partial_rsa] nut_thread L22 acc=0.060 ct=0.033
[08_partial_rsa] nut_thread L23 acc=0.050 ct=0.018
[08_partial_rsa] wrote stats (144 rows)
